-----------------------------------------------------------------------------------------------------------------------------

Elevation report for the  watershed     1/1/0001 3:25:35 PM     2/14/2014 12:00:00 AM

-----------------------------------------------------------------------------------------------------------------------------


Statistics:: All elevations reported in meters
-----------

  Min.    Elevation: 1162
  Max.    Elevation: 5855
  Mean.   Elevation: 3642.06194010759
  Std.    Deviation: 776.913104483359

                    Elevation          % Area Below Elevation         % Area Watershed

                    1162                     0                         0
                    1163                     0                         0
                    1164                     0                         0
                    1165                     0                         0
                    1166                     0                         0
                    1167                     0                         0
                    1168                     0                         0
                    1169                     0                         0
                    1170                     0                         0
                    1171                     0                         0
                    1172                     0                         0
                    1173                     0                         0
                    1174                     0                         0
                    1175                     0                         0
                    1176                     0                         0
                    1177                     0                         0
                    1178                     0                         0
                    1179                     0                         0
                    1180                     0                         0
                    1181                     .01                      0
                    1182                     .01                      0
                    1183                     .01                      0
                    1184                     .01                      0
                    1185                     .01                      0
                    1186                     .01                      0
                    1187                     .01                      0
                    1188                     .01                      0
                    1189                     .01                      0
                    1190                     .01                      0
                    1191                     .02                      0
                    1192                     .02                      0
                    1193                     .02                      0
                    1194                     .02                      0
                    1195                     .02                      0
                    1196                     .02                      0
                    1197                     .02                      0
                    1198                     .02                      0
                    1199                     .02                      0
                    1200                     .03                      0
                    1201                     .03                      0
                    1202                     .03                      0
                    1203                     .03                      0
                    1204                     .03                      0
                    1205                     .03                      0
                    1206                     .03                      0
                    1207                     .03                      0
                    1208                     .03                      0
                    1209                     .04                      0
                    1210                     .04                      0
                    1211                     .04                      0
                    1212                     .04                      0
                    1213                     .04                      0
                    1214                     .04                      0
                    1215                     .04                      0
                    1216                     .05                      0
                    1217                     .05                      0
                    1218                     .05                      0
                    1219                     .05                      0
                    1220                     .05                      0
                    1221                     .05                      0
                    1222                     .06                      0
                    1223                     .06                      0
                    1224                     .06                      0
                    1225                     .06                      0
                    1226                     .06                      0
                    1227                     .07                      0
                    1228                     .07                      0
                    1229                     .07                      0
                    1230                     .07                      0
                    1231                     .07                      0
                    1232                     .07                      0
                    1233                     .08                      0
                    1234                     .08                      0
                    1235                     .08                      0
                    1236                     .08                      0
                    1237                     .08                      0
                    1238                     .09                      0
                    1239                     .09                      0
                    1240                     .09                      0
                    1241                     .09                      0
                    1242                     .09                      0
                    1243                     .09                      0
                    1244                     .09                      0
                    1245                     .1                       0
                    1246                     .1                       0
                    1247                     .1                       0
