-----------------------------------------------------------------------------------------------------------------------------

Elevation report for the  watershed     1/1/0001 8:57:00 AM     2/24/2014 12:00:00 AM

-----------------------------------------------------------------------------------------------------------------------------


Statistics:: All elevations reported in meters
-----------

  Min.    Elevation: 634
  Max.    Elevation: 6059
  Mean.   Elevation: 3324.16127982097
  Std.    Deviation: 952.278917248019

                    Elevation          % Area Below Elevation         % Area Watershed

                    634                     0                         0
                    635                     0                         0
                    636                     0                         0
                    637                     0                         0
                    638                     0                         0
                    639                     0                         0
                    640                     0                         0
                    641                     0                         0
                    642                     0                         0
                    643                     0                         0
                    644                     0                         0
                    645                     0                         0
                    646                     .01                      0
                    647                     .01                      0
                    648                     .01                      0
                    649                     .01                      0
                    650                     .01                      0
                    651                     .01                      0
                    652                     .01                      0
                    653                     .01                      0
                    654                     .01                      0
                    655                     .02                      0
                    656                     .02                      0
                    657                     .02                      0
                    658                     .02                      0
                    659                     .02                      0
                    660                     .02                      0
                    661                     .02                      0
                    662                     .02                      0
                    663                     .02                      0
                    664                     .02                      0
                    665                     .02                      0
                    666                     .02                      0
                    667                     .02                      0
                    668                     .03                      0
                    669                     .03                      0
                    670                     .03                      0
                    671                     .03                      0
                    672                     .03                      0
                    673                     .03                      0
                    674                     .03                      0
                    675                     .03                      0
                    676                     .03                      0
                    677                     .03                      0
                    678                     .03                      0
                    679                     .03                      0
                    680                     .04                      0
                    681                     .04                      0
                    682                     .04                      0
                    683                     .04                      0
                    684                     .04                      0
                    685                     .04                      0
                    686                     .04                      0
                    687                     .04                      0
                    688                     .04                      0
                    689                     .04                      0
                    690                     .04                      0
                    691                     .05                      0
                    692                     .05                      0
                    693                     .05                      0
                    694                     .05                      0
                    695                     .05                      0
                    696                     .05                      0
                    697                     .05                      0
                    698                     .05                      0
                    699                     .05                      0
                    700                     .05                      0
                    701                     .05                      0
                    702                     .06                      0
                    703                     .06                      0
                    704                     .06                      0
                    705                     .06                      0
                    706                     .06                      0
                    707                     .06                      0
                    708                     .06                      0
                    709                     .06                      0
                    710                     .06                      0
                    711                     .06                      0
                    712                     .06                      0
                    713                     .07                      0
                    714                     .07                      0
                    715                     .07                      0
                    716                     .07                      0
                    717                     .07                      0
                    718                     .07                      0
                    719                     .07                      0
                    720                     .07                      0
                    721                     .07                      0
                    722                     .07                      0
                    723                     .07                      0
                    724                     .07                      0
                    725                     .08                      0
                    726                     .08                      0
                    727                     .08                      0
                    728                     .08                      0
                    729                     .08                      0
                    730                     .08                      0
                    731                     .08                      0
                    732                     .08                      0
                    733                     .08                      0
                    734                     .08                      0
                    735                     .09                      0
                    736                     .09                      0
                    737                     .09                      0
                    738                     .09                      0
                    739                     .09                      0
                    740                     .09                      0
                    741                     .09                      0
                    742                     .09                      0
                    743                     .09                      0
                    744                     .09                      0
                    745                     .09                      0
                    746                     .1                       0
                    747                     .1                       0
                    748                     .1                       0
                    749                     .1                       0
                    750                     .1                       0
                    751                     .1                       0
                    752                     .1                       0
                    753                     .1                       0
                    754                     .1                       0
                    755                     .11                      0
                    756                     .11                      0
                    757                     .11                      0
                    758                     .11                      0
                    759                     .11                      0
                    760                     .11                      0
                    761                     .11                      0
                    762                     .11                      0
                    763                     .11                      0
                    764                     .11                      0
                    765                     .12                      0
                    766                     .12                      0
                    767                     .12                      0
                    768                     .12                      0
                    769                     .12                      0
                    770                     .12                      0
                    771                     .12                      0
                    772                     .12                      0
                    773                     .13                      0
                    774                     .13                      0
                    775                     .13                      0
                    776                     .13                      0
                    777                     .13                      0
                    778                     .13                      0
                    779                     .13                      0
                    780                     .13                      0
                    781                     .14                      0
                    782                     .14                      0
                    783                     .14                      0
                    784                     .14                      0
                    785                     .14                      0
                    786                     .14                      0
                    787                     .14                      0
                    788                     .15                      0
                    789                     .15                      0
                    790                     .15                      0
                    791                     .15                      0
                    792                     .15                      0
                    793                     .15                      0
                    794                     .16                      0
                    795                     .16                      0
                    796                     .16                      0
                    797                     .16                      0
                    798                     .16                      0
                    799                     .17                      0
                    800                     .17                      0
                    801                     .17                      0
                    802                     .17                      0
                    803                     .18                      0
                    804                     .18                      0
                    805                     .18                      0
                    806                     .18                      0
                    807                     .19                      0
                    808                     .19                      0
                    809                     .19                      0
                    810                     .19                      0
                    811                     .2                       0
                    812                     .2                       0
                    813                     .2                       0
                    814                     .21                      0
                    815                     .21                      0
                    816                     .21                      0
                    817                     .21                      0
                    818                     .22                      0
                    819                     .22                      0
                    820                     .22                      0
                    821                     .22                      0
                    822                     .23                      0
                    823                     .23                      0
                    824                     .23                      0
                    825                     .23                      0
                    826                     .24                      0
                    827                     .24                      0
                    828                     .24                      0
                    829                     .24                      0
                    830                     .25                      0
                    831                     .25                      0
                    832                     .25                      0
                    833                     .26                      0
                    834                     .26                      0
                    835                     .26                      0
                    836                     .26                      0
                    837                     .27                      0
                    838                     .27                      0
                    839                     .27                      0
                    840                     .27                      0
                    841                     .28                      0
                    842                     .28                      0
                    843                     .28                      0
                    844                     .29                      0
                    845                     .29                      0
                    846                     .29                      0
                    847                     .3                       0
                    848                     .3                       0
                    849                     .3                       0
                    850                     .3                       0
                    851                     .31                      0
                    852                     .31                      0
                    853                     .31                      0
                    854                     .32                      0
                    855                     .32                      0
                    856                     .32                      0
                    857                     .33                      0
                    858                     .33                      0
                    859                     .33                      0
                    860                     .33                      0
                    861                     .34                      0
                    862                     .34                      0
                    863                     .34                      0
                    864                     .35                      0
                    865                     .35                      0
                    866                     .35                      0
                    867                     .36                      0
                    868                     .36                      0
                    869                     .36                      0
                    870                     .36                      0
                    871                     .37                      0
                    872                     .37                      0
                    873                     .37                      0
                    874                     .38                      0
                    875                     .38                      0
                    876                     .38                      0
                    877                     .38                      0
                    878                     .39                      0
                    879                     .39                      0
                    880                     .39                      0
                    881                     .4                       0
                    882                     .4                       0
                    883                     .4                       0
                    884                     .4                       0
                    885                     .41                      0
                    886                     .41                      0
                    887                     .41                      0
                    888                     .41                      0
                    889                     .42                      0
                    890                     .42                      0
                    891                     .42                      0
                    892                     .43                      0
                    893                     .43                      0
                    894                     .43                      0
                    895                     .44                      0
                    896                     .44                      0
                    897                     .44                      0
                    898                     .45                      0
                    899                     .45                      0
                    900                     .45                      0
                    901                     .46                      0
                    902                     .46                      0
                    903                     .46                      0
                    904                     .47                      0
                    905                     .47                      0
                    906                     .47                      0
                    907                     .48                      0
                    908                     .48                      0
                    909                     .48                      0
                    910                     .49                      0
                    911                     .49                      0
                    912                     .5                       0
                    913                     .5                       0
                    914                     .5                       0
                    915                     .51                      0
                    916                     .51                      0
                    917                     .51                      0
                    918                     .52                      0
                    919                     .52                      0
                    920                     .52                      0
                    921                     .53                      0
                    922                     .53                      0
                    923                     .53                      0
                    924                     .54                      0
                    925                     .54                      0
                    926                     .54                      0
                    927                     .55                      0
                    928                     .55                      0
                    929                     .55                      0
                    930                     .56                      0
                    931                     .56                      0
                    932                     .57                      0
                    933                     .57                      0
                    934                     .57                      0
                    935                     .58                      0
                    936                     .58                      0
                    937                     .58                      0
                    938                     .59                      0
                    939                     .59                      0
                    940                     .59                      0
                    941                     .6                       0
                    942                     .6                       0
                    943                     .6                       0
                    944                     .61                      0
                    945                     .61                      0
                    946                     .62                      0
                    947                     .62                      0
                    948                     .62                      0
                    949                     .63                      0
                    950                     .63                      0
                    951                     .63                      0
                    952                     .64                      0
                    953                     .64                      0
                    954                     .65                      0
                    955                     .65                      0
                    956                     .65                      0
                    957                     .66                      0
                    958                     .66                      0
                    959                     .66                      0
                    960                     .67                      0
                    961                     .67                      0
                    962                     .68                      0
                    963                     .68                      0
                    964                     .68                      0
                    965                     .69                      0
                    966                     .69                      0
                    967                     .7                       0
                    968                     .7                       0
                    969                     .7                       0
                    970                     .71                      0
                    971                     .71                      0
                    972                     .71                      0
                    973                     .72                      0
                    974                     .72                      0
                    975                     .72                      0
                    976                     .73                      0
                    977                     .73                      0
                    978                     .74                      0
                    979                     .74                      0
                    980                     .74                      0
                    981                     .75                      0
                    982                     .75                      0
                    983                     .75                      0
                    984                     .76                      0
                    985                     .76                      0
                    986                     .77                      0
                    987                     .77                      0
                    988                     .77                      0
                    989                     .78                      0
                    990                     .78                      0
                    991                     .79                      0
                    992                     .79                      0
                    993                     .8                       0
                    994                     .8                       0
                    995                     .8                       0
                    996                     .81                      0
                    997                     .81                      0
                    998                     .82                      0
                    999                     .82                      0
                    1000                     .82                      0
                    1001                     .83                      0
                    1002                     .83                      0
                    1003                     .84                      0
                    1004                     .84                      0
                    1005                     .84                      0
                    1006                     .85                      0
                    1007                     .85                      0
                    1008                     .86                      0
                    1009                     .86                      0
                    1010                     .86                      0
                    1011                     .87                      0
                    1012                     .87                      0
                    1013                     .88                      0
                    1014                     .88                      0
                    1015                     .88                      0
                    1016                     .89                      0
                    1017                     .89                      0
                    1018                     .9                       0
                    1019                     .9                       0
                    1020                     .9                       0
                    1021                     .91                      0
                    1022                     .91                      0
                    1023                     .92                      0
                    1024                     .92                      0
                    1025                     .93                      0
                    1026                     .93                      0
                    1027                     .93                      0
                    1028                     .94                      0
                    1029                     .94                      0
                    1030                     .95                      0
                    1031                     .95                      0
                    1032                     .96                      0
                    1033                     .96                      0
                    1034                     .97                      0
                    1035                     .97                      .01
                    1036                     .98                      0
                    1037                     .98                      0
                    1038                     .99                      .01
                    1039                     .99                      0
                    1040                     .99                      .01
                    1041                     1                         .01
                    1042                     1.01                      .01
                    1043                     1.01                      .01
                    1044                     1.02                      0
                    1045                     1.02                      .01
                    1046                     1.03                      .01
                    1047                     1.03                      .01
                    1048                     1.04                      .01
                    1049                     1.04                      .01
                    1050                     1.05                      0
