-----------------------------------------------------------------------------------------------------------------------------

Elevation report for the  watershed     1/1/0001 9:38:30 AM     9/13/2013 12:00:00 AM

-----------------------------------------------------------------------------------------------------------------------------


Statistics:: All elevations reported in meters
-----------

  Min.    Elevation: 5
  Max.    Elevation: 5532
  Mean.   Elevation: 1672.51732121021
  Std.    Deviation: 1173.24884594969

                    Elevation          % Area Below Elevation         % Area Watershed

                    5                     0                         0
                    6                     0                         0
                    7                     0                         0
                    8                     0                         0
                    9                     0                         0
                    10                     0                         0
                    11                     .01                      0
                    12                     .01                      0
                    13                     .01                      0
                    14                     .02                      0
                    15                     .02                      0
                    16                     .02                      0
                    17                     .03                      0
                    18                     .03                      0
                    19                     .03                      0
                    20                     .03                      0
                    21                     .04                      0
                    22                     .04                      0
                    23                     .04                      0
                    24                     .04                      0
                    25                     .04                      0
                    26                     .05                      0
                    27                     .05                      0
                    28                     .05                      0
                    29                     .05                      0
                    30                     .05                      0
                    31                     .05                      0
                    32                     .06                      0
                    33                     .06                      0
                    34                     .06                      0
                    35                     .06                      0
                    36                     .06                      0
                    37                     .07                      0
                    38                     .07                      0
                    39                     .07                      0
                    40                     .07                      0
                    41                     .08                      0
                    42                     .08                      0
                    43                     .09                      0
                    44                     .09                      .01
                    45                     .1                       .01
                    46                     .1                       .01
                    47                     .11                      .01
                    48                     .11                      .01
                    49                     .12                      .01
                    50                     .13                      .01
                    51                     .14                      .01
                    52                     .14                      .01
                    53                     .15                      .01
                    54                     .16                      .01
                    55                     .17                      .01
                    56                     .18                      .01
                    57                     .19                      .01
                    58                     .2                       .01
                    59                     .21                      .01
                    60                     .22                      .01
                    61                     .22                      .01
                    62                     .23                      .01
                    63                     .24                      .01
                    64                     .25                      .01
                    65                     .26                      .01
                    66                     .27                      .01
                    67                     .28                      .01
                    68                     .29                      .01
                    69                     .29                      .01
                    70                     .3                       .01
                    71                     .31                      .01
                    72                     .32                      .01
                    73                     .33                      .01
                    74                     .33                      .01
                    75                     .34                      .01
                    76                     .35                      .01
                    77                     .36                      .01
                    78                     .37                      .01
                    79                     .38                      .01
                    80                     .38                      .01
                    81                     .39                      .01
                    82                     .4                       .01
                    83                     .41                      .01
                    84                     .42                      .01
                    85                     .43                      .01
                    86                     .43                      .01
                    87                     .44                      .01
                    88                     .45                      .01
                    89                     .46                      .01
                    90                     .47                      .01
                    91                     .48                      .01
                    92                     .49                      .01
                    93                     .5                       .01
                    94                     .51                      .01
                    95                     .52                      .01
                    96                     .53                      .01
                    97                     .54                      .01
                    98                     .55                      .01
                    99                     .56                      .01
                    100                     .57                      .01
                    101                     .58                      .01
                    102                     .59                      .01
                    103                     .6                       .01
                    104                     .61                      .01
                    105                     .63                      .01
                    106                     .64                      .01
                    107                     .65                      .01
                    108                     .66                      .01
                    109                     .67                      .01
                    110                     .69                      .01
                    111                     .7                       .01
                    112                     .71                      .01
                    113                     .73                      .01
                    114                     .74                      .01
                    115                     .75                      .01
                    116                     .77                      .01
                    117                     .78                      .01
                    118                     .8                       .01
                    119                     .81                      .01
                    120                     .83                      .01
                    121                     .84                      .01
